dataset,level,algorithm,number,mal_pre,mal_recall,mal_f1,good_pre,good_recall,good_f1
rmv,opcode,DT,6,0.9530,0.8954,0.9233,0.9014,0.9559,0.9278
rmv,opcode,RF,6,0.9773,0.8676,0.9192,0.8810,0.9798,0.9278
rmv,opcode,SVM,6,0.9583,0.9886,0.9732,0.9882,0.9570,0.9723
rmv,opcode,DT,70y,0.9473,0.9592,0.9532,0.9586,0.9466,0.9526
rmv,opcode,RF,70y,0.9694,0.9314,0.9500,0.9340,0.9706,0.9519
rmv,opcode,SVM,70y,0.9510,0.9940,0.9720,0.9937,0.9488,0.9707
rmv,opcode,DT,7,0.9550,0.9374,0.9461,0.9385,0.9559,0.9471
rmv,opcode,RF,7,0.9790,0.8873,0.9309,0.8969,0.9809,0.9370
rmv,opcode,SVM,7,0.9548,0.9902,0.9722,0.9898,0.9532,0.9711
rmv,opcode,DT,8,0.9559,0.8976,0.9258,0.9035,0.9586,0.9302
rmv,opcode,RF,8,0.9681,0.9243,0.9457,0.9276,0.9695,0.9481
rmv,opcode,SVM,8,0.9587,0.9853,0.9718,0.9849,0.9575,0.9710
rmv,opcode,DT,9,0.9546,0.9052,0.9293,0.9099,0.9570,0.9328
rmv,opcode,RF,9,0.9724,0.9009,0.9353,0.9077,0.9744,0.9398
rmv,opcode,SVM,9,0.9584,0.9902,0.9740,0.9899,0.9570,0.9731
